video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7534610306513882390,2025-08-04T06:16:26,23,NG,4593,214,233,239900,"Replying to @serix60  *iPhone 16 Pro*: --- *📱 iPhone 16 Pro – 2024 Flagship Glow-Up 🔥* - *Display*: 6.3"" Super Retina XDR OLED, 120Hz ProMotion, Always-On, Dynamic Island   - *Chipset*: A18 Pro – blazing fast with Apple Intelligence AI features   - *Camera System*:     - 48MP Main (Fusion)     - 48MP Ultra-Wide     - 12MP Telephoto with 5x optical zoom     - 4K at 120fps ProRes video recording   - *Battery*: 3582mAh – all-day usage with improved efficiency   - *Build*: Titanium frame, Ceramic Shield front, IP68 water/dust resistant   - *OS*: iOS 18 with advanced AI tools   - *Storage Options*: 128GB, 256GB, 512GB, 1TB   - *Colors*: Black Titanium, White Titanium, Natural Titanium, Desert Titanium *✅ Pros*: - Enhanced camera capabilities, including macro photography and 5x optical zoom - Powerful A18 Pro chip with AI integration - Premium build quality with titanium frame *❌ Cons*: - Higher price point compared to previous models - No significant design changes from iPhone 15 Pro #fyp #foryoupage❤️❤️ #durability #phonereview #gamingtest #TechTok #FlagshipVibes #GamerPhone # #iPhone16Pro #AppleFlagship #TechTok #Smartphone2024 #AppleIntelligence  ---",True,Apple iPhone 16 pro ,mrdave_ng0,Mr_Dave,23100,203,2000000,364,33200,False,,,
7418245736338377990,2024-09-25T02:00:00,141,MX,248800,6756,1995,4500000,iPhone 16 Pro | Vistazo Rápido #celulares#smartphones#smartwatch#ios#tecnologia#isamarcial#review#unboxing#apple#iphone#iphone16pro,False,,isa_marcial,Isa Marcial,5200000,239,235400000,2122,576,True,,,
7423386879413783838,2024-10-08T12:53:01,80,US,62400,2447,1297,1700000,"Here’s my review of the iPhone 16 Pro! The slightly bigger screen is actually nice  and it does look good with the smaller bezels. Battery life was definitely improved and glad it was addressed this year. The 5x camera zoom on the iPhone 16 Pro is alot of fun to use and the camera styles are also really nice! With all that being said, i dont think this is an upgrade everyone needs. Will you be upgrading? #iphone16 #iphone16pro #iphone16review #iphonereview #creatorsearchinsights ",False,"iPhone 16 Pro Review
(in 60 seconds);iPhone 16 Pro Review",anantchoxi,Choxi | Tech Videos,31300,435,1500000,212,26600,False,New York,United States,
7428840665812962565,2024-10-23T05:36:16,19,ID,935,49,79,126500,Bagian 299 | Spesifikasi & game test Apple Iphone 16 pro 😄 #iphone16pro #iphone #ios #gadget ,False,APPLE IPHONE 16 PRO,gadgetinfansclub,Gadgetin Fans Club,39800,25,2500000,2700,24200,False,,,
