video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7320047571517312262,2024-01-04T01:23:16,25,ID,2640,151,333,336800,Spesifikasi Apple iPhone 15 Plus #iphone #apple #iphone15plus #saidgadget #xyzbca #fyp ,False,"Spesifikasi 
iPhone 15 Plus",gadget_trends_id,Gadget Trends Shop,62100,31,2500000,198,5136,False,,,
7598670294554905867,2026-01-23T21:21:45,16,PA,79,4,0,4846,"Si lo seee, son muy parecidos 😳 pero el iPhone 15 plus tiene mejor rendimiento de batería, cuéntame tu, ¿con cual te quedas?",False,,phonesolutions507,Phonesolutions507,3411,92,132200,73,3589,False,,,
7541553330179362055,2025-08-22T23:18:44,23,PE,5978,296,57,315900,"🎥 iPhone 15 Plus vs iPhone 13: ¿vale la pena el salto? 📱✨ 👉 Mira cómo cambia la nitidez, los colores y el detalle en bajas luces. 📸 El 15 Plus trae mejoras en el procesador de imagen y un sensor más avanzado, mientras que el 13 aún defiende muy bien en condiciones normales. ⚡ ¿Qué prefieres tú: actualizar por la cámara o seguir con el 13? ",False,,kfrealcel,KFREALCEL,50200,2,1300000,626,1626,False,,,
7610495267795668245,2026-02-24T18:08:42,78,PY,25,0,2,937,iPhone 15 plus #iphone #paraguay #parati #fyp #paraguay🇵🇾 ,False,,planetservicepy,PlanetServicepy,2631,643,29300,170,24000,False,,,
