video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7240253066073722118,2023-06-03T00:39:50,12,PH,12200,475,535,747200,Replying to @sayzzz__7 #fyyyyyyp #phonerecommendation #recommendgames #phone #fyppppppppppppppppppppppp ,False,,z4ikogaming,Z4IKO,115900,8798,3800000,1165,19400,False,,,
7531949979846380806,2025-07-28T02:12:49,95,AR,52900,4371,521,922000,"🔥 5 RAZONES PARA COMPRAR UN IPHONE 14 PRO 📱 Desde su cámara brutal hasta su diseño de locos, te cuento por qué es una de las mejores compras que podés hacer este año. Y lo mejor de todo: hoy está a un precio bajísimo en mi tienda. 📍Vení a Zamilo Cell 2.0, y llévate uno como nuevo con garantía, accesorios incluidos y la mejor atención. 🔥 No lo pienses más… este iPhone sigue rompiendo. 👇 Dejá tu duda en los comentarios o escribime al DM. #i#iphone14pro  #i#iphonesargentina #iphoneusadocomonuevo #T#tecnologíaapple #tiendadeiphones#TiendaDeiPhonespleFansLatam #fyp #fypp ",False,,zamilo.cell,Zamilo Cell,106300,21,4300000,676,5219,False,,,
7600762532944416018,2026-01-29T12:40:36,14,ID,17,0,2,762,,False,,hjhalijah.1008,BOBO_EDITS,370,59,15400,336,673,False,,,
7602680270113787157,2026-02-03T16:42:27,13,KR,63,2,15,6811,이때 보는 사람 없겠지? iphone 14 pro performance  #apple #ios #iphone #a16bionic #iphone14pro,False,,a3698730,🇰🇷 A36 hype 🇰🇷,281,26,4418,30,165,False,,,
