video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7428189094628445445,2024-10-21T11:27:40,19,ID,1618,108,253,198900,Bagian 294 | Spesifikasi & game test Iphone 16 🥰 #iphone16 #iphone #ios #gadget ,False,IPHONE 16,gadgetinfansclub,Gadgetin Fans Club,39800,25,2500000,2700,24200,False,,,
7486476210059496712,2025-03-28T02:05:00,15,ID,1838,1691,95,162300,iPhone 16. Super cepat. Super Pintar. Kontrol kamera yang sepenuhnya baru dan peningkatan besar dalam kekuatan baterai. Pre-order sekarang mulai dari Rp 624.958/bulan* dan nikmati bebas hingga 2 bulan cicilan* dengan kartu kredit pilihan di Toko Urban Republic Terdekat. #UrbanRepublicID #URSolusinya #iPhone16  #iPhone16MUDAHdiUrbanRepublic #AppleAtUR,True,,urbanrepublicid,Urban Republic Official Store,879200,9,1600000,1100,393,True,,,
7611158726212603154,2026-02-26T13:03:12,30,TH,5062,297,18,151200,iPhone16 vs iPhone15 #fyp #iphone #iphone16 #iphone15 ,False,,iphone2you_unboxing,unbox🎉,78800,9,15500000,376,3480,False,,,
7574850413942426902,2025-11-20T16:48:22,59,ES,5586,578,109,175400,"iPhone 16e REVIEW ¿Merece la pena? 🤔 El iPhone 16e es el iPhone nuevo más barato que vende Apple y, aunque se esperaba que fuera un reemplazo de los iPhone SE, recibió muchas críticas en su momento por el precio y los recortes de funciones. En esta mini review iPhone 16e en español repasamos todas sus características más importantes",False,,tuapplemundo,tuapplemundo,91800,52,1900000,163,173,False,,,
