video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7358998594256375045,2024-04-18T00:33:03,55,MX,67100,1814,581,1900000,Respuesta a @kirianmimi Para mí una de las mejores opciones que hay actualmente es el IPhone 13 Mini #iphone13 #iphone13mini #Apple ,False,,soyandredj,André D´Jesús,60000,89,3100000,899,37300,False,León Guanajato,"León, Gto., México",Leon
7582074519330786567,2025-12-10T04:01:34,35,US,23400,555,316,505600,iPhone 13 mini camera in 2025… still hits 📸✨ #iphone13mini #iphone2025 #cameraTest #shotoniphone #techreview ,False,"iPhone 13 mini camera in 2025
still good 😭📱✨",hazzlebald,K.,900,109,230500,49,1237,False,,,
7565715490102906132,2025-10-27T02:00:17,64,MX,21100,991,154,691500,🤔Vale la pena iPhone 13 MINI aun? 📱ig: @airphone_mex ✅ #airphonemex #airphonemexconfiable #ventaiphone #iphoneseminuevo #ventacelulares ,False,"¿VALE LA PENA UN 
IPHONE 13 MINI? ;Ig: @airphone_mex ;Comenta si comprarías uno? 🤔;CHIP A15 BIONIC ;3 años más de actualización ✅ ;Cotiza el tuyo link en el perfil ✅ ;¿VALE LA PENA? 
IPHONE 13 MINI ❌ 
EN 2026? 👀😨📱",airphone_mex,Airphone Méx,300300,277,10000000,1159,2298,False,,,
7415555242051276039,2024-09-17T10:21:45,15,SG,2003,41,35,90700,lets buy an iphone 13 mini in 2024! #apple #iphone #fyp #techtok #tech #iphone13mini ,False,"let’s buy an
iphone 13 mini
in 2024!;3-3.5hrs sot ;60hz;good cameras
and
social media
optimisation
😍😍;gets ios 22
😍😍;amazing performance
😍😍;and its speed
and smoothness
😍😍",sigmaatechh,sigmaa📱,45700,15,9800000,452,117700,False,,,
